Species,group,Reproductive_Mode,Larval_Strategy,Adult_Strategy,Diet_Class,Habitat,Size_Metric,Size_Value_cm,Size_Class_Relative,Relative_size,suitable_depth_min,suitable_depth_max,suitable_depth_avarage,suitable_habitat_zone,suitable_depth_range,suitable_depth_adaptability,limit_depth_min,limit_depth_max,limit_depth_avarage,limit_habitat_zone,limit_depth_range,limit_depth_adaptability,suitable_temperature_min,suitable_temperature_max,suitable_temperature_avarage,suitable_habitat_temperature,suitable_temperature_range,suitable_temperature_adaptability,limit_temperature_min,limit_temperature_max,limit_temperature_avarage,limit_habitat_temperature,limit_temperature_range,limit_temperature_adaptability,suitable_salinity_min,suitable_salinity_max,suitable_salinity_avarage,suitable_habitat_salinity,suitable_salinity_range,suitable_salinity_adaptability,limit_salinity_min,limit_salinity_max,limit_salinity_avarage,limit_habitat_salinity,limit_salinity_range,limit_salinity_adaptability,genomesize,GC,DNA,LINE,SINE,LTR,Other,Unknown,Total
Acanthaster_planci,Asteroidea,planktotrophic,R,K,Carnivore,Hard,maximum_diameter,45,4,big,65,65,65,Deep_Subtidal,0,Stenobathic,0,60,30,Deep_Subtidal,60,Mesobathic,23,29,26,Tropical,6,Mesothermal,20,32,26,Tropical,12,Eurythermal,32,35,33.5,Marine,3,Stenohaline,30,36,33,Marine,6,Mesohaline,383860178,40.24,12.117,2.317,0.219,1.774,0.005,1.441,17.644
Amphiura_filiformis,Ophiuroidea,planktotrophic,R,intermediate,Suspension_Feeder,Soft,Disc_diameter,1,1,small,15,200,107.5,Deep_Subtidal,185,Mesobathic,5,1150,577.5,Bathyal,1145,Eurybathic,12,17,14.5,Cool,5,Mesothermal,7,20,13.5,Cool,13,Eurythermal,28,38,33,Marine,10,Euryhaline,28,38,33,Marine,10,Euryhaline,1570979307,36.66,38.328,4.838,0.611,10.478,0.009,4.370,56.377
Anneissia_japonica,Crinoidea,lecithotrophic,K,K,Suspension_Feeder,Hard,wrist_length,20,3,medium,0,20,10,Shallow_Subtidal,20,Stenobathic,0,150,75,Deep_Subtidal,150,Mesobathic,20,22,21,Warm,2,Stenothermal,13,28,20.5,Warm,15,Eurythermal,34,35,34.5,Oceanic,1,Stenohaline,32,35,33.5,Marine,3,Stenohaline,589628371,32.97,21.922,4.473,0.820,3.820,0.005,3.175,32.939
Anseropoda_placenta,Asteroidea,lecithotrophic,K,K,Carnivore,Soft,maximum_diameter,5,1,small,0,20,10,Shallow_Subtidal,20,Stenobathic,5,600,302.5,Bathyal,595,Eurybathic,22,28,25,Tropical,6,Mesothermal,13,28,20.5,Warm,15,Eurythermal,35,38,36.5,Oceanic,3,Stenohaline,35,38,36.5,Oceanic,3,Stenohaline,533288823,44.08,15.014,2.825,0.720,10.450,0.012,2.971,31.196
Antedon_bifida,Crinoidea,lecithotrophic,K,K,Suspension_Feeder,Hard,wrist_length,10,2,medium_to_small,5,100,52.5,Deep_Subtidal,95,Mesobathic,0,450,225,Bathyal,450,Eurybathic,2,12,7,Cold,10,Eurythermal,2,20,11,Cold,18,Eurythermal,29,36,32.5,Oceanic,7,Mesohaline,29,36,32.5,Marine,7,Mesohaline,319630719,33.4,17.222,4.510,0.586,4.497,0.012,2.743,28.886
Antedon_mediterranea,Crinoidea,lecithotrophic,K,K,Suspension_Feeder,Mixed,wrist_length,15,2,medium_to_small,15,80,47.5,Deep_Subtidal,65,Mesobathic,10,450,230,Bathyal,440,Eurybathic,13,16,14.5,Cool,3,Stenothermal,13,25,19,Warm,12,Eurythermal,35,38,36.5,Oceanic,3,Stenohaline,35,38,36.5,Oceanic,3,Stenohaline,354510775,33.57,18.933,4.932,0.820,8.184,0.018,1.919,33.484
Apostichopus_japonicus,Holothuroidea,planktotrophic,R,K,Deposit_Feeder,Mixed,body_length,25,3,medium,0,50,25,Shallow_Subtidal,50,Stenobathic,0,160,80,Deep_Subtidal,160,Mesobathic,15,20,17.5,Cool,5,Mesothermal,5,24,14.5,Cool,19,Eurythermal,32,35,33.5,Marine,3,Stenohaline,25,35,30,Marine,10,Euryhaline,671643915,37.75,14.336,4.200,0.993,5.254,0.023,1.555,25.622
Arbacia_lixula,Echinoidea,planktotrophic,R,K,Omnivore,Hard,Shell_diameter,5,1,small,0,50,25,Shallow_Subtidal,50,Stenobathic,0,100,50,Deep_Subtidal,100,Mesobathic,20,26,23,Warm,6,Mesothermal,15,28,21.5,Warm,13,Eurythermal,35,38,36.5,Oceanic,3,Stenohaline,35,39,37,Oceanic,4,Stenohaline,607892862,39.31,19.365,5.042,0.204,6.075,0.010,2.158,31.789
Asterias_amurensis,Asteroidea,planktotrophic,R,K,Carnivore,Mixed,maximum_diameter,50,4,big,0,50,25,Shallow_Subtidal,50,Stenobathic,0,220,110,Deep_Subtidal,220,Eurybathic,7,10,8.5,Cold,3,Stenothermal,0,23,11.5,Cold,23,Eurythermal,27,33,30,Marine,6,Mesohaline,18,35,26.5,Brackish_tolerant,17,Euryhaline,491537102,38.92,22.263,2.684,1.925,9.232,0.006,4.604,38.342
Asterias_rubens,Asteroidea,planktotrophic,R,K,Carnivore,Mixed,maximum_diameter,30,3,medium,0,200,100,Deep_Subtidal,200,Mesobathic,0,650,325,Bathyal,650,Eurybathic,14,20,17,Cool,6,Mesothermal,2,22,12,Cold,20,Eurythermal,30,35,32.5,Marine,5,Mesohaline,15,40,27.5,Brackish_tolerant,25,Euryhaline,417601740,38.75,23.151,2.625,1.395,4.854,0.006,5.082,35.676
Asterina_phylactica,Asteroidea,lecithotrophic,K,K,Herbivore,Hard,maximum_diameter,1.5,1,small,0,5,2.5,Intertidal,5,Stenobathic,0,18,9,Shallow_Subtidal,18,Stenobathic,10,20,15,Cool,10,Eurythermal,8,22,15,Cool,14,Eurythermal,30,35,32.5,Marine,5,Mesohaline,28,38,33,Marine,10,Euryhaline,389104071,40.68,19.883,3.397,1.668,7.697,0.271,4.316,36.444
Astropecten_irregularis,Asteroidea,planktotrophic,R,intermediate,Carnivore,Soft,maximum_diameter,19,2,medium_to_small,50,400,225,Bathyal,350,Eurybathic,10,1000,505,Bathyal,990,Eurybathic,4,12,8,Cold,8,Mesothermal,4,20,12,Cold,16,Eurythermal,30,35,32.5,Marine,5,Mesohaline,28,35,31.5,Marine,7,Mesohaline,475837774,40.11,23.100,3.662,0.650,7.868,0.013,4.633,37.879
Astrospartus_mediterraneus,Ophiuroidea,planktotrophic,R,K,Suspension_Feeder,Hard,Disc_diameter,8,5,large,20,188,104,Deep_Subtidal,168,Mesobathic,30,800,415,Bathyal,770,Eurybathic,13,15,14,Cool,2,Stenothermal,13,22,17.5,Cool,9,Mesothermal,35,38,36.5,Oceanic,3,Stenohaline,35,38,36.5,Oceanic,3,Stenohaline,2293599108,37.78,30.864,9.771,1.237,20.493,0.012,5.228,62.672
Colochirus_anceps,Holothuroidea,planktotrophic,R,K,Suspension_Feeder,Mixed,body_length,8,1,small,5,30,17.5,Shallow_Subtidal,25,Stenobathic,5,30,17.5,Shallow_Subtidal,25,Stenobathic,24,27,25.5,Tropical,3,Stenothermal,24,27,25.5,Tropical,3,Stenothermal,32,35,33.5,Marine,3,Stenohaline,32,35,33.5,Marine,3,Stenohaline,2410075023,41.65,33.810,7.731,1.377,23.660,0.005,8.734,71.304
Chiridota_heheva,Holothuroidea,lecithotrophic,K,K,Suspension_Feeder,Specialized,body_length,20,3,medium,2200,3600,2900,Abyssal,1400,Eurybathic,2440,2650,2545,Abyssal,210,Eurybathic,2,10,6,Cold,8,Mesothermal,2,10,6,Cold,8,Mesothermal,34,35,34.5,Oceanic,1,Stenohaline,34,35,34.5,Oceanic,1,Stenohaline,1434753151,37.05,22.153,7.053,0.386,5.891,0.020,4.715,38.524
Crossaster_papposus,Asteroidea,lecithotrophic,K,K,Carnivore,Hard,maximum_diameter,34,3,medium,0,300,150,Deep_Subtidal,300,Eurybathic,0,1200,600,Bathyal,1200,Eurybathic,4,12,8,Cold,8,Mesothermal,-1.5,18,8.25,Cold,19.5,Eurythermal,30,35,32.5,Marine,5,Mesohaline,28,35,31.5,Marine,7,Mesohaline,628470879,40.7,21.052,3.756,1.000,21.563,0.020,5.057,50.316
Ctenodiscus_crispatus,Asteroidea,lecithotrophic,K,K,Deposit_Feeder,Soft,maximum_diameter,5,1,small,20,500,260,Bathyal,480,Eurybathic,10,2000,1005,Abyssal,1990,Eurybathic,4,12,8,Cold,8,Mesothermal,-2,16,7,Cold,18,Eurythermal,30,35,32.5,Marine,5,Mesohaline,30,35,32.5,Marine,5,Mesohaline,918664550,41.95,21.107,3.782,0.577,26.365,0.008,4.340,54.077
Cucumaria_frondosa,Holothuroidea,lecithotrophic,K,K,Suspension_Feeder,Hard,body_length,50,4,big,200,800,500,Bathyal,600,Eurybathic,5,900,452.5,Bathyal,895,Eurybathic,0.1,9.8,4.95,Cold,9.7,Mesothermal,-1,16,7.5,Cold,17,Eurythermal,30,35,32.5,Marine,5,Mesohaline,25,35,30,Marine,10,Euryhaline,2166542181,44.61,39.134,7.688,0.973,17.240,0.008,4.860,65.497
Diadema_antillarum,Echinoidea,planktotrophic,R,K,Herbivore,Mixed,Shell_diameter,10,2,medium_to_small,0,10,5,Intertidal,10,Stenobathic,0,300,150,Deep_Subtidal,300,Eurybathic,25,28,26.5,Tropical,3,Stenothermal,18,33,25.5,Tropical,15,Eurythermal,32,35,33.5,Marine,3,Stenohaline,22,38,30,Marine,16,Euryhaline,1722311398,38.48,22.100,4.249,0.143,10.504,0.016,3.792,38.904
Diadema_setosum,Echinoidea,planktotrophic,R,K,Herbivore,Mixed,Shell_diameter,7,2,medium_to_small,0,10,5,Intertidal,10,Stenobathic,0,70,35,Deep_Subtidal,70,Mesobathic,26,30,28,Tropical,4,Stenothermal,25,33,29,Tropical,8,Mesothermal,34,37,35.5,Oceanic,3,Stenohaline,30,37,33.5,Marine,7,Mesohaline,885842048,38.35,25.503,5.014,0.226,7.374,0.018,2.280,38.956
Echinarachnius_parma,Echinoidea,planktotrophic,R,intermediate,Deposit_Feeder,Soft,Shell_diameter,10,2,medium_to_small,0,50,25,Shallow_Subtidal,50,Stenobathic,0,1600,800,Abyssal,1600,Eurybathic,4,12,8,Cold,8,Mesothermal,-1.5,21,9.75,Cold,22.5,Eurythermal,30,35,32.5,Marine,5,Mesohaline,28,35,31.5,Marine,7,Mesohaline,1201677093,37.66,33.506,5.050,0.555,8.947,0.032,5.586,50.883
Echinaster_sepositus,Asteroidea,lecithotrophic,K,K,Omnivore,Mixed,maximum_diameter,20,2,medium_to_small,1,50,25.5,Shallow_Subtidal,49,Stenobathic,1,250,125.5,Deep_Subtidal,249,Eurybathic,13,17,15,Cool,4,Stenothermal,13,24,18.5,Warm,11,Eurythermal,30,35,32.5,Marine,5,Mesohaline,30,38,34,Oceanic,8,Mesohaline,627020772,41.92,31.649,3.725,2.150,18.757,0.006,3.681,57.261
Echinometra_lucunter,Echinoidea,planktotrophic,R,K,Omnivore,Hard,Shell_diameter,8.5,2,medium_to_small,0,3,1.5,Intertidal,3,Stenobathic,0,5,2.5,Intertidal,5,Stenobathic,26,30,28,Tropical,4,Stenothermal,20,32,26,Tropical,12,Eurythermal,32,35,33.5,Marine,3,Stenohaline,28,40,34,Oceanic,12,Euryhaline,760415207,37.02,25.193,4.420,0.833,4.604,0.074,3.372,37.363
Echinometra_EZ,Echinoidea,planktotrophic,R,K,Herbivore,Hard,Shell_diameter,8,2,medium_to_small,0,5,2.5,Intertidal,5,Stenobathic,0,10,5,Intertidal,10,Stenobathic,25,30,27.5,Tropical,5,Mesothermal,24,31,27.5,Tropical,7,Mesothermal,35,40,37.5,Oceanic,5,Mesohaline,35,40,37.5,Oceanic,5,Mesohaline,817837444,37.1,29.763,4.724,0.709,5.116,0.029,4.273,43.445
Heliocidaris_crassispina,Echinoidea,planktotrophic,R,K,Herbivore,Hard,Shell_diameter,7.7,2,medium_to_small,0,5,2.5,Intertidal,5,Stenobathic,0,40,20,Shallow_Subtidal,40,Stenobathic,20,25,22.5,Warm,5,Mesothermal,15,28,21.5,Warm,13,Eurythermal,30,35,32.5,Marine,5,Mesohaline,30,35,32.5,Marine,5,Mesohaline,708500503,36.61,26.788,5.434,0.455,4.321,0.054,2.987,38.997
Heliocidaris_erythrogramma,Echinoidea,lecithotrophic,K,K,Herbivore,Mixed,Shell_diameter,11,2,medium_to_small,1,20,10.5,Shallow_Subtidal,19,Stenobathic,0,35,17.5,Shallow_Subtidal,35,Stenobathic,17,22,19.5,Warm,5,Mesothermal,12,25,18.5,Warm,13,Eurythermal,33,35,34,Oceanic,2,Stenohaline,33,35,34,Oceanic,2,Stenohaline,1064235828,37.72,29.855,5.790,0.810,9.470,0.037,4.975,49.019
Heliocidaris_tuberculata,Echinoidea,planktotrophic,R,K,Herbivore,Hard,Shell_diameter,11.5,3,medium,0,10,5,Intertidal,10,Stenobathic,0,40,20,Shallow_Subtidal,40,Stenobathic,17,22,19.5,Warm,5,Mesothermal,17,26,21.5,Warm,9,Mesothermal,33,35,34,Oceanic,2,Stenohaline,33,35,34,Oceanic,2,Stenohaline,897798483,36.84,29.135,4.731,0.796,5.426,0.050,3.509,42.263
Hippasteria_phrygiana,Asteroidea,lecithotrophic,K,K,Carnivore,Mixed,maximum_diameter,20,2,medium_to_small,10,1000,505,Bathyal,990,Eurybathic,20,2400,1210,Abyssal,2380,Eurybathic,2,10,6,Cold,8,Mesothermal,2,10,6,Cold,8,Mesothermal,33,35,34,Oceanic,2,Stenohaline,33,35,34,Oceanic,2,Stenohaline,944110670,40.96,25.624,3.188,0.643,35.115,0.006,4.193,66.606
Holothuria_leucospilota,Holothuroidea,planktotrophic,R,K,Deposit_Feeder,Hard,body_length,60,4,small,0,5,2.5,Intertidal,5,Stenobathic,0,20,10,Shallow_Subtidal,20,Stenobathic,28,31,29.5,Tropical,3,Stenothermal,24,33,28.5,Tropical,9,Mesothermal,27,35,31,Marine,8,Mesohaline,27,35,31,Marine,8,Mesohaline,1502755020,39.12,35.830,3.972,0.513,8.128,0.015,3.576,50.595
Holothuria_scabra,Holothuroidea,planktotrophic,R,K,Deposit_Feeder,Soft,body_length,22,3,medium,0,20,10,Shallow_Subtidal,20,Stenobathic,0,20,10,Shallow_Subtidal,20,Stenobathic,26,31,28.5,Tropical,5,Mesothermal,22,35,28.5,Tropical,13,Eurythermal,30,35,32.5,Marine,5,Mesohaline,15,35,25,Brackish_tolerant,20,Euryhaline,1192182228,38.28,36.947,3.489,0.551,5.697,0.003,4.637,49.554
Leptasterias_polaris,Asteroidea,lecithotrophic,K,K,Carnivore,Soft,maximum_diameter,20,2,medium_to_small,30,370,200,Bathyal,340,Eurybathic,0,600,300,Bathyal,600,Eurybathic,0.7,8.9,4.8,Cold,8.2,Mesothermal,-2,10,4,Cold,12,Eurythermal,30,35,32.5,Marine,5,Mesohaline,25,34,29.5,Brackish_tolerant,9,Mesohaline,629771736,39.08,26.002,3.764,0.559,11.151,0.004,3.629,43.573
Leptometra_celtica,Crinoidea,planktotrophic,R,K,Suspension_Feeder,Mixed,wrist_length,10,2,medium_to_small,40,200,120,Deep_Subtidal,160,Mesobathic,40,1300,670,Bathyal,1260,Eurybathic,9,12,10.5,Cold,3,Stenothermal,9,12,10.5,Cold,3,Stenothermal,30,35,32.5,Marine,5,Mesohaline,34.5,35.5,35,Oceanic,1,Stenohaline,364470239,35.27,20.408,4.323,1.910,7.963,0.020,6.424,38.177
Luidia_sarsii,Asteroidea,planktotrophic,R,intermediate,Carnivore,Soft,maximum_diameter,20,2,medium_to_small,20,600,310,Bathyal,580,Eurybathic,10,1300,655,Bathyal,1290,Eurybathic,5,15,10,Cold,10,Eurythermal,5,15,10,Cold,10,Eurythermal,30,35,32.5,Marine,5,Mesohaline,30,35,32.5,Marine,5,Mesohaline,471203137,44.27,17.015,6.201,0.564,11.231,0.021,4.432,36.651
Lytechinus_pictus,Echinoidea,planktotrophic,R,intermediate,Herbivore,Mixed,Shell_diameter,5,1,small,0,50,25,Shallow_Subtidal,50,Stenobathic,0,300,150,Deep_Subtidal,300,Eurybathic,22,28,25,Tropical,6,Mesothermal,13,28,20.5,Warm,15,Eurythermal,33,35,34,Oceanic,2,Stenohaline,32,35,33.5,Marine,3,Stenohaline,811721768,36.39,30.882,4.374,0.575,8.992,0.069,3.449,46.458
Lytechinus_variegatus,Echinoidea,planktotrophic,R,intermediate,Herbivore,Mixed,Shell_diameter,9,2,medium_to_small,0,20,10,Shallow_Subtidal,20,Stenobathic,0,250,125,Deep_Subtidal,250,Eurybathic,22,28,25,Tropical,6,Mesothermal,15,35,25,Tropical,20,Eurythermal,30,35,32.5,Marine,5,Mesohaline,25,40,32.5,Marine,15,Euryhaline,869598128,36.3,30.933,4.444,0.984,8.237,0.157,3.731,46.092
Marthasterias_glacialis,Asteroidea,planktotrophic,R,K,Carnivore,Mixed,maximum_diameter,70,5,large,0,50,25,Shallow_Subtidal,50,Stenobathic,0,200,100,Deep_Subtidal,200,Mesobathic,10,16,13,Cool,6,Mesothermal,2,20,11,Cold,18,Eurythermal,30,35,32.5,Marine,5,Mesohaline,28,35,31.5,Marine,7,Mesohaline,520959849,39.48,22.159,2.464,1.699,7.451,0.004,3.429,36.376
Mesocentrotus_franciscanus,Echinoidea,planktotrophic,R,K,Herbivore,Hard,Shell_diameter,19,4,big,3,35,19,Shallow_Subtidal,32,Stenobathic,0,125,62.5,Deep_Subtidal,125,Mesobathic,10,18,14,Cool,8,Mesothermal,7,20,13.5,Cool,13,Eurythermal,33,35,34,Oceanic,2,Stenohaline,32,35,33.5,Marine,3,Stenohaline,773163409,36.98,23.728,5.873,0.463,5.720,0.161,3.671,37.805
Ophiocomina_nigra,Ophiuroidea,planktotrophic,R,K,Omnivore,Mixed,Disc_diameter,2.5,2,medium_to_small,5,50,27.5,Shallow_Subtidal,45,Stenobathic,0,300,150,Deep_Subtidal,300,Eurybathic,10,18,14,Cool,8,Mesothermal,8,20,14,Cool,12,Eurythermal,30,35,32.5,Marine,5,Mesohaline,30,35,32.5,Marine,5,Mesohaline,1761208584,37.14,40.664,4.192,1.145,11.063,0.012,3.803,58.456
Ophioderma_longicauda,Ophiuroidea,planktotrophic,R,intermediate,Carnivore,Mixed,Disc_diameter,3,3,medium,0,100,50,Deep_Subtidal,100,Mesobathic,0,100,50,Deep_Subtidal,100,Mesobathic,17,26,21.5,Warm,9,Mesothermal,15,28,21.5,Warm,13,Eurythermal,34,36,35,Oceanic,2,Stenohaline,34,38,36,Oceanic,4,Stenohaline,3243334633,37.77,40.284,4.874,0.775,22.257,0.008,5.671,69.814
Ophiura_ophiura,Ophiuroidea,planktotrophic,R,intermediate,Carnivore,Soft,Disc_diameter,3.5,3,medium,0,200,100,Deep_Subtidal,200,Mesobathic,0,750,375,Bathyal,750,Eurybathic,10,18,14,Cool,8,Mesothermal,4,20,12,Cold,16,Eurythermal,30,35,32.5,Marine,5,Mesohaline,28,35,31.5,Marine,7,Mesohaline,1592177811,37.11,38.922,4.543,0.363,11.544,0.010,3.882,56.997
Ophiura_sarsii,Ophiuroidea,planktotrophic,R,intermediate,Omnivore,Soft,Disc_diameter,3.5,3,medium,250,3000,1625,Abyssal,2750,Eurybathic,10,3700,1855,Abyssal,3690,Eurybathic,0,15,7.5,Cold,15,Eurythermal,-1,15,7,Cold,16,Eurythermal,30,35,32.5,Marine,5,Mesohaline,30,35,32.5,Marine,5,Mesohaline,1574763175,37.09,39.179,4.400,0.542,10.909,0.010,3.539,56.522
Paelopatides,Holothuroidea,lecithotrophic,K,K,Deposit_Feeder,Soft,body_length,5,1,small,2502,4050,3276,Abyssal,1548,Eurybathic,2502,4050,3276,Abyssal,1548,Eurybathic,1.5,4,2.75,Cold,2.5,Stenothermal,1.5,4,2.75,Cold,2.5,Stenothermal,34,35,34.5,Oceanic,1,Stenohaline,34,35,34.5,Oceanic,1,Stenohaline,3764891174,38.19,26.251,9.702,1.079,27.726,0.013,7.741,65.285
Paracentrotus_lividus,Echinoidea,planktotrophic,R,K,Herbivore,Mixed,Shell_diameter,7,2,medium_to_small,0,20,10,Shallow_Subtidal,20,Stenobathic,0,80,40,Deep_Subtidal,80,Mesobathic,20,30,25,Tropical,10,Eurythermal,10,30,20,Warm,20,Eurythermal,34,35,34.5,Oceanic,1,Stenohaline,27,39,33,Marine,12,Euryhaline,927475755,34.42,32.837,4.446,0.454,5.507,0.027,2.230,44.508
Patiria_miniata,Asteroidea,planktotrophic,R,K,Carnivore,Mixed,maximum_diameter,25,2,medium_to_small,0,50,25,Shallow_Subtidal,50,Stenobathic,0,300,150,Deep_Subtidal,300,Eurybathic,16,22,19,Warm,6,Mesothermal,10,24,17,Cool,14,Eurythermal,32,35,33.5,Marine,3,Stenohaline,30,35,32.5,Marine,5,Mesohaline,608344308,40.54,27.096,3.556,0.731,6.574,0.004,3.573,40.489
Patiria_pectinifera,Asteroidea,planktotrophic,R,K,Carnivore,Mixed,maximum_diameter,10,2,medium_to_small,0,40,20,Shallow_Subtidal,40,Stenobathic,0,100,50,Deep_Subtidal,100,Mesobathic,15,25,20,Warm,10,Eurythermal,5,28,16.5,Cool,23,Eurythermal,20,36,28,Brackish_tolerant,16,Euryhaline,20,36,28,Brackish_tolerant,16,Euryhaline,615361208,40.46,28.121,3.315,1.256,7.150,0.007,3.434,41.931
Pisaster_brevispinus,Asteroidea,planktotrophic,R,K,Carnivore,Soft,maximum_diameter,70,5,large,6,18,12,Shallow_Subtidal,12,Stenobathic,0,187,93.5,Deep_Subtidal,187,Mesobathic,5,19,12,Cold,14,Eurythermal,5,20,12.5,Cool,15,Eurythermal,28,32,30,Marine,4,Stenohaline,28,32,30,Marine,4,Stenohaline,549802912,39.69,18.104,2.834,0.927,10.467,0.004,3.017,34.455
Pisaster_ochraceus,Asteroidea,planktotrophic,R,K,Carnivore,Hard,maximum_diameter,45,4,big,0,90,45,Deep_Subtidal,90,Mesobathic,0,90,45,Deep_Subtidal,90,Mesobathic,5,19,12,Cold,14,Eurythermal,3,22,12.5,Cool,19,Eurythermal,25,30,27.5,Brackish_tolerant,5,Mesohaline,25,34,29.5,Brackish_tolerant,9,Mesohaline,401943971,33.85,13.304,1.734,1.890,1.276,0.002,1.932,19.915
Plazaster_borealis,Asteroidea,lecithotrophic,K,K,Carnivore,Soft,maximum_diameter,30,3,medium,199,1189,694,Bathyal,990,Eurybathic,199,1800,999.5,Abyssal,1601,Eurybathic,2.5,5,3.75,Cold,2.5,Stenothermal,2.5,5,3.75,Cold,2.5,Stenothermal,33,35,34,Oceanic,2,Stenohaline,33,35,34,Oceanic,2,Stenohaline,561050340,38.87,27.369,3.355,1.746,6.962,0.004,4.360,41.833
Pseudarchaster_parelii,Asteroidea,lecithotrophic,K,K,Carnivore,Soft,maximum_diameter,20,3,medium,800,3540,2170,Abyssal,2740,Eurybathic,100,3540,1820,Abyssal,3440,Eurybathic,2.5,5,3.75,Cold,2.5,Stenothermal,2.5,5,3.75,Cold,2.5,Stenothermal,34,35,34.5,Oceanic,1,Stenohaline,34,35,34.5,Oceanic,1,Stenohaline,1076015123,41.03,28.249,4.269,0.852,24.271,0.007,7.207,62.634
Ptychodera_flava,Enteropneusta,planktotrophic,R,K,Deposit_Feeder,Soft,body_length,20,3,medium,1,1,1,Intertidal,0,Stenobathic,0,10,5,Intertidal,10,Stenobathic,20,25,22.5,Warm,5,Mesothermal,20,25,22.5,Warm,5,Mesothermal,25,35,30,Marine,10,Euryhaline,25,35,30,Marine,10,Euryhaline,1161750505,37.64,28.018,3.937,0.211,7.941,0.007,3.752,42.280
Pycnopodia_helianthoides,Asteroidea,planktotrophic,R,K,Carnivore,Mixed,maximum_diameter,110,5,large,0,435,217.5,Bathyal,435,Eurybathic,0,435,217.5,Bathyal,435,Eurybathic,2,12,7,Cold,10,Eurythermal,2,12,7,Cold,10,Eurythermal,30,35,32.5,Marine,5,Mesohaline,28,35,31.5,Marine,7,Mesohaline,483883685,39.13,21.051,2.867,1.814,7.451,0.004,3.536,35.454
Schizocardium_californicum,Enteropneusta,planktotrophic,R,K,Deposit_Feeder,Soft,body_length,30,3,medium,1,1,1,Intertidal,0,Stenobathic,0,5,2.5,Intertidal,5,Stenobathic,14,16,15,Cool,2,Stenothermal,12,18,15,Cool,6,Mesothermal,34,36,35,Oceanic,2,Stenohaline,33,36,34.5,Oceanic,3,Stenohaline,933929657,35.19,29.852,7.539,0.391,7.065,0.030,4.846,47.214
Solaster_endeca,Asteroidea,lecithotrophic,K,K,Carnivore,Mixed,maximum_diameter,40,4,big,0,500,250,Bathyal,500,Eurybathic,0,1200,600,Bathyal,1200,Eurybathic,0.9,11,5.95,Cold,10.1,Eurythermal,-1.5,12,5.25,Cold,13.5,Eurythermal,30,35,32.5,Marine,5,Mesohaline,25,35,30,Marine,10,Euryhaline,666274743,40.79,22.857,4.578,1.007,25.967,0.014,2.788,54.860
Sphaerechinus_granularis,Echinoidea,planktotrophic,R,K,Herbivore,Mixed,Shell_diameter,15,4,big,2,40,21,Shallow_Subtidal,38,Stenobathic,2,130,66,Deep_Subtidal,128,Mesobathic,15,20,17.5,Cool,5,Mesothermal,13,25,19,Warm,12,Eurythermal,20,40,30,Marine,20,Euryhaline,20,40,30,Marine,20,Euryhaline,991349300,36.41,34.370,5.309,0.863,7.944,0.121,2.985,49.852
Stichopus_chloronotus,Holothuroidea,planktotrophic,R,K,Deposit_Feeder,Hard,body_length,25,3,medium,0,15,7.5,Shallow_Subtidal,15,Stenobathic,0,25,12.5,Shallow_Subtidal,25,Stenobathic,24,29,26.5,Tropical,5,Mesothermal,24,29,26.5,Tropical,5,Mesothermal,34,36,35,Oceanic,2,Stenohaline,34,36,35,Oceanic,2,Stenohaline,719130506,37.84,17.799,3.921,0.250,2.727,0.007,2.638,26.620
Stichopus_fusiformiossa,Holothuroidea,planktotrophic,R,K,Deposit_Feeder,Soft,body_length,30,3,medium,10,30,20,Shallow_Subtidal,20,Stenobathic,10,30,20,Shallow_Subtidal,20,Stenobathic,26,30,28,Tropical,4,Stenothermal,26,30,28,Tropical,4,Stenothermal,33,35,34,Oceanic,2,Stenohaline,33,35,34,Oceanic,2,Stenohaline,766548913,37.6,17.395,3.696,0.510,3.589,0.009,1.990,26.554
Stichopus_monotuberculatus,Holothuroidea,planktotrophic,R,K,Deposit_Feeder,Mixed,body_length,60,4,big,0,30,15,Shallow_Subtidal,30,Stenobathic,15,80,47.5,Deep_Subtidal,65,Mesobathic,28,31,29.5,Tropical,3,Stenothermal,25,33,29,Tropical,8,Mesothermal,33,35,34,Oceanic,2,Stenohaline,32,36,34,Oceanic,4,Stenohaline,833846589,37.75,17.564,2.183,0.288,4.007,0.008,2.944,27.789
Strongylocentrotus_purpuratus,Echinoidea,planktotrophic,R,K,Herbivore,Hard,Shell_diameter,10,2,medium_to_small,0,160,80,Deep_Subtidal,160,Mesobathic,0,160,80,Deep_Subtidal,160,Mesobathic,15,20,17.5,Cool,5,Mesothermal,5,23,14,Cool,18,Eurythermal,28,38.5,33.25,Marine,10.5,Euryhaline,28,38.5,33.25,Marine,10.5,Euryhaline,921855793,37.38,22.730,4.834,0.846,7.296,0.116,4.625,38.650
Zoroaster,Asteroidea,lecithotrophic,K,K,Carnivore,Soft,maximum_diameter,25,2,medium_to_small,199,1750,974.5,Bathyal,1551,Eurybathic,199,2500,1349.5,Abyssal,2301,Eurybathic,2,4,3,Cold,2,Stenothermal,2,4,3,Cold,2,Stenothermal,34,35,34.5,Marine,1,Stenohaline,30,35,32.5,Marine,5,Mesohaline,1001964507,37.93,31.758,4.757,0.694,16.216,0.007,4.937,55.039
